CA_name,PTYPE2011,sqft_land_11
West Town                               ,CONDO,6367.0
West Town                               ,NON PROFIT,7448.0
West Town                               ,SINGLE FAMILY,2976.0
West Town                               ,TOWN HOUSE,1094.0
West Town                               ,VACANT LAND,2738.0
Woodlawn                                ,2-6 UNIT,3172.5
Woodlawn                                ,7+ UNIT,8550.0
Woodlawn                                ,COMM/IND,0.0
Woodlawn                                ,CONDO,8236.0
Woodlawn                                ,SINGLE FAMILY,3100.0
Woodlawn                                ,TOWN HOUSE,1893.0
Woodlawn                                ,VACANT LAND,3125.0
